2017/10/04,敦化國小,18.0,16.0,18.0,24.0,21.0,23.0,20.0,17.0,20.0,20.0,18.0, ,18.0,14.0,15.0,15.0,13.0,13.0,12.0,11.0,13.0,14.0,12.0,17.0
2017/10/05,敦化國小,17.0,12.0,14.0,19.0,19.0,18.0,20.0,21.0,19.0,22.0,22.0,21.0,20.0,24.0, ,22.0,18.0,15.0,17.0,20.0,21.0,26.0, ,23.0
2017/10/06,敦化國小,26.0,28.0,26.0,26.0,14.0,13.0,7.0,10.0,10.0,10.0,5.0,4.0,6.0,8.0,8.0,13.0,13.0,19.0, ,22.0,26.0,23.0,28.0,28.0
2017/10/07,敦化國小,27.0,21.0,23.0,24.0,22.0,14.0,14.0,14.0,17.0,21.0,21.0,22.0,15.0,21.0,19.0,15.0,14.0,14.0, ,11.0,12.0, ,13.0,12.0
2017/10/08,敦化國小,11.0,13.0,14.0,15.0,17.0,17.0, , , ,12.0,15.0,15.0,15.0,8.0, ,11.0,9.0,6.0,6.0,5.0,4.0,2.0,3.0,3.0
2017/10/09,敦化國小,3.0,4.0,2.0,3.0,6.0,7.0,7.0,7.0,6.0,7.0,10.0,9.0,9.0, ,7.0,8.0,9.0,10.0,6.0,6.0,6.0,6.0,6.0,5.0
2017/10/10,敦化國小,4.0,6.0, ,6.0,7.0,6.0,5.0,5.0,5.0,8.0,9.0,8.0,9.0,8.0,7.0,8.0,6.0,6.0,7.0,7.0,7.0,6.0,4.0,6.0
2017/10/11,敦化國小,8.0,6.0,6.0,5.0,7.0,8.0,8.0,8.0,9.0,6.0,8.0,8.0,6.0,8.0,5.0,6.0,9.0,6.0, ,8.0,6.0,4.0,8.0,8.0
2017/10/12,敦化國小,4.0,9.0,5.0,6.0,10.0,10.0,11.0,14.0,19.0,18.0,13.0,15.0,19.0,23.0,26.0,15.0,15.0,18.0,14.0,15.0,11.0,8.0,11.0,12.0
2017/10/13,敦化國小,14.0,15.0,15.0, ,14.0,14.0,10.0, ,21.0,14.0,20.0,5.0,10.0,4.0,3.0,4.0,1.0,0.0,1.0,0.0,0.0, ,2.0,2.0
2017/10/14,敦化國小,2.0,3.0,4.0,3.0,3.0,3.0,3.0, , ,3.0,5.0,2.0,1.0,4.0,2.0,1.0,4.0,4.0,3.0,2.0,0.0,1.0,1.0,1.0
2017/10/15,敦化國小,2.0,4.0,6.0,3.0,4.0,14.0,12.0,21.0,15.0,15.0, ,19.0,18.0,23.0,20.0,20.0,17.0,20.0,11.0,9.0,5.0,5.0,9.0,9.0
2017/10/16,敦化國小,17.0,20.0,23.0,14.0,4.0,20.0, , ,5.0,7.0,8.0,8.0,9.0,13.0,11.0,8.0,6.0,1.0,8.0,3.0,8.0,5.0,5.0,1.0
2017/10/17,敦化國小,6.0,8.0,9.0,8.0,11.0,10.0, ,5.0,6.0,5.0,5.0,6.0, ,10.0,10.0,10.0,6.0,5.0,9.0,5.0,5.0,6.0, ,9.0
2017/10/18,敦化國小,9.0,4.0,6.0,4.0,6.0,8.0,9.0,11.0,18.0,15.0,19.0,18.0,15.0,18.0, , , , , ,14.0,15.0,15.0,22.0,17.0
2017/10/19,敦化國小,18.0,17.0,14.0,11.0,13.0, ,10.0,13.0,13.0,17.0,17.0,12.0,13.0,14.0,13.0,14.0,11.0, ,10.0,10.0,11.0,11.0,13.0,10.0
2017/10/20,敦化國小,14.0,19.0,15.0,12.0,11.0,13.0,10.0,15.0,15.0,12.0,11.0,14.0,18.0,14.0,16.0, ,15.0,13.0,18.0,22.0,22.0,22.0,25.0,28.0
2017/10/21,敦化國小,29.0,28.0,27.0,25.0, ,27.0, ,30.0,27.0,27.0, ,19.0, ,15.0,14.0,19.0,20.0,20.0,14.0,15.0,18.0,26.0,24.0,29.0
2017/10/22,敦化國小, ,26.0,32.0,31.0,33.0,33.0, ,34.0,36.0, , ,33.0,34.0,38.0,40.0,40.0,40.0,38.0,37.0,36.0,35.0,40.0,39.0,39.0
2017/10/23,敦化國小,41.0,48.0,49.0,42.0,36.0,37.0,37.0,36.0,36.0,35.0,39.0,39.0,36.0, , , , , , ,32.0,29.0,33.0,34.0,36.0
2017/10/24,敦化國小, ,32.0,31.0,27.0,25.0,21.0,27.0,24.0,24.0,23.0, ,23.0,23.0,25.0,25.0,22.0,28.0,22.0,20.0,20.0,22.0,22.0,21.0,21.0
2017/10/25,敦化國小,18.0,22.0,20.0,20.0,21.0,19.0,20.0,18.0,20.0,19.0,18.0,19.0,19.0,18.0,16.0,14.0,15.0, ,15.0,13.0,13.0,16.0,18.0,20.0
2017/10/26,敦化國小,20.0,16.0,20.0,18.0, ,15.0,15.0,20.0,20.0,22.0,19.0,22.0,18.0, ,17.0,23.0,21.0,23.0,23.0,23.0,22.0,23.0,25.0,22.0
2017/10/27,敦化國小,24.0,28.0,31.0,28.0,21.0,24.0, ,22.0,28.0,28.0,30.0,30.0,28.0,34.0,34.0,37.0,40.0,36.0,39.0,44.0,36.0,37.0,36.0,40.0
2017/10/28,敦化國小,40.0,37.0,39.0,37.0,38.0,38.0,33.0,35.0,38.0,38.0,38.0,36.0,45.0,44.0,45.0,43.0,43.0,44.0,41.0,43.0,44.0,43.0,41.0,38.0
2017/10/29,敦化國小,35.0,37.0, ,32.0,29.0, ,28.0, , , , , ,45.0,74.0,74.0,56.0,50.0,42.0,36.0,22.0,16.0,15.0,16.0,16.0
2017/10/30,敦化國小, ,11.0,13.0,9.0,13.0,12.0, ,13.0,15.0,12.0,14.0,12.0,13.0,10.0,12.0,15.0,12.0,11.0,11.0,11.0,10.0,6.0,6.0,6.0
2017/10/31,敦化國小,10.0, ,4.0,4.0,4.0,6.0,6.0,6.0,9.0,8.0,10.0,11.0,9.0,9.0,12.0,12.0,13.0,12.0,14.0,15.0,14.0, ,13.0,21.0
2017/11/01,敦化國小,19.0,16.0,23.0,21.0,20.0,17.0,17.0, , , ,25.0,20.0,21.0,20.0,28.0,21.0,18.0,21.0,16.0,23.0, ,19.0,18.0,19.0
2017/11/02,敦化國小,22.0,28.0,23.0,11.0,9.0,12.0,11.0,13.0, ,13.0, ,15.0, , , , , ,2.0, ,1.0,2.0,2.0,2.0,1.0
2017/11/03,敦化國小, ,3.0,4.0, , ,29.0, , , , ,37.0,33.0,34.0,27.0,25.0,26.0,26.0,29.0,34.0,37.0,39.0,48.0, ,49.0
2017/11/04,敦化國小,40.0,40.0,37.0,35.0,26.0,29.0,27.0,26.0,20.0, , ,17.0, , , , , , , ,19.0,17.0, ,17.0,21.0
2017/11/05,敦化國小,17.0,20.0,23.0,27.0,29.0,31.0, , , , , , , ,14.0,16.0,13.0,10.0,12.0,21.0,22.0,23.0,21.0,23.0,24.0
2017/11/06,敦化國小,21.0,24.0,18.0,19.0,14.0,15.0, , , ,18.0,18.0, ,6.0,5.0, ,5.0, ,9.0,8.0,10.0,4.0,4.0,6.0,11.0
2017/11/07,敦化國小,3.0,3.0,4.0,4.0,5.0,8.0, , ,45.0,45.0,45.0,33.0,14.0,13.0,9.0,13.0,9.0,2.0,5.0,3.0,6.0,9.0,5.0,6.0
2017/11/08,敦化國小,3.0,2.0,2.0,1.0,3.0,2.0,2.0,2.0,1.0,2.0,14.0,41.0,34.0,24.0,21.0,13.0,12.0,11.0,11.0,22.0,20.0,23.0,24.0,30.0
2017/11/09,敦化國小,28.0,29.0,37.0,40.0,43.0,36.0, ,27.0, , , , , , , , , , , ,20.0,15.0,12.0,14.0,10.0
2017/11/10,敦化國小,12.0,6.0,12.0,14.0,12.0,12.0,16.0, ,14.0,17.0,14.0,17.0,10.0,6.0,8.0,9.0,9.0,5.0,5.0,0.0,8.0,22.0,41.0,44.0
2017/11/11,敦化國小,29.0,37.0,31.0,30.0,25.0, , ,38.0,34.0,38.0,42.0,30.0,21.0,20.0, ,19.0,14.0,10.0,8.0,6.0,11.0,6.0,11.0,15.0
2017/11/12,敦化國小,8.0,5.0,6.0,5.0,11.0,15.0,15.0,13.0,14.0,15.0,11.0,12.0,8.0,6.0,5.0,10.0,14.0,6.0,9.0,8.0,5.0,3.0,3.0,3.0
2017/11/13,敦化國小,6.0,8.0,13.0,10.0,12.0,11.0,10.0,11.0,9.0,11.0,12.0,13.0,10.0,8.0,8.0,8.0,4.0,3.0,8.0,8.0,10.0,9.0,6.0,8.0
2017/11/14,敦化國小,9.0,16.0,11.0,12.0, , ,8.0, ,9.0,11.0,20.0, ,11.0, ,9.0,14.0,13.0,16.0,16.0,14.0,13.0,13.0,10.0,13.0
